compkey,unitdesc,onstreet,cluster,cluster_label,street_id,n_neighbors,n_same_cluster,same_cluster_ratio
11665,MARION ST BETWEEN 3RD AVE AND 4TH AVE,MARION ST,0.0,Night/weekend intensive streets,107,3.0,2.0,0.6666666666666666
11666,MARION ST BETWEEN 4TH AVE AND 5TH AVE,MARION ST,2.0,Consistently high occupancy streets,108,4.0,0.0,0.0
11667,MARION ST BETWEEN 5TH AVE AND 6TH AVE,MARION ST,0.0,Night/weekend intensive streets,109,3.0,1.0,0.3333333333333333
11669,MARION ST BETWEEN 8TH AVE AND 9TH AVE,MARION ST,1.0,Consistently low occupancy streets,110,6.0,4.0,0.6666666666666666
11670,MARION ST BETWEEN 9TH AVE AND TERRY AVE,MARION ST,1.0,Consistently low occupancy streets,111,5.0,4.0,0.8
10139,EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,EAGLE ST,0.0,Night/weekend intensive streets,112,4.0,2.0,0.5
10140,EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,EAGLE ST,2.0,Consistently high occupancy streets,113,2.0,0.0,0.0
9639,CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,CEDAR ST,0.0,Night/weekend intensive streets,114,6.0,5.0,0.8333333333333334
9640,CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,CEDAR ST,0.0,Night/weekend intensive streets,115,6.0,6.0,1.0
9641,CEDAR ST BETWEEN 2ND AVE AND 3RD AVE,CEDAR ST,0.0,Night/weekend intensive streets,116,5.0,4.0,0.8
9642,CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,CEDAR ST,2.0,Consistently high occupancy streets,117,5.0,2.0,0.4
10200,ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST,ELLIOTT AVE,2.0,Consistently high occupancy streets,118,3.0,3.0,1.0
