compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
2871,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,2ND AVE S,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,Optimal,,Under-saturated,,weekday_day Optimal | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2924,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,2ND AV ET S,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2925,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,2ND AV ET S,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,2ND AV ET S,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
4388,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,3RD AVE,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4390,3RD AVE BETWEEN BELL ST AND BATTERY ST,3RD AVE,3RD AVE BETWEEN BELL ST AND BATTERY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4391,3RD AVE BETWEEN BATTERY ST AND WALL ST,3RD AVE,3RD AVE BETWEEN BATTERY ST AND WALL ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4392,3RD AVE BETWEEN WALL ST AND VINE ST,3RD AVE,3RD AVE BETWEEN WALL ST AND VINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4394,3RD AVE BETWEEN CEDAR ST AND CLAY ST,3RD AVE,3RD AVE BETWEEN CEDAR ST AND CLAY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4395,3RD AVE BETWEEN CLAY ST AND BROAD ST,3RD AVE,3RD AVE BETWEEN CLAY ST AND BROAD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
4514,3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,3RD AVE S,3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
4515,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,3RD AVE S,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
4516,3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,3RD AVE S,3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
6120,4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,4TH AVE,4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
6124,4TH AVE BETWEEN COLUMBIA ST AND MARION ST,4TH AVE,4TH AVE BETWEEN COLUMBIA ST AND MARION ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6126,4TH AVE BETWEEN MADISON ST AND SPRING ST,4TH AVE,4TH AVE BETWEEN MADISON ST AND SPRING ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6128,4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,4TH AVE,4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6130,4TH AVE BETWEEN UNION ST AND PIKE ST,4TH AVE,4TH AVE BETWEEN UNION ST AND PIKE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
