overall_mean_occupancy,all_rate_mean_ps,parking_spaces,paystation_count,street_width,speed_limit,building_coverage_ratio,commercial_mixed_share,residential_share,transport_parking_share,one_way_Y,artdescript_Interstate/Freeway,artdescript_Minor Arterial,artdescript_Not Designated,artdescript_Principal Arterial,artdescript_State Route/Freeway
0.2937166666666666,1.25,5.0,1.0,54.0,25.0,0.19759563848834716,0.5368717467462959,0.0,0.33082223974704594,True,False,False,False,True,False
0.15946536306830422,1.25,2.0,2.0,54.0,25.0,0.2643873529834374,0.708110415238058,0.0,0.0,True,False,False,False,True,False
0.20614583333333336,2.0,4.0,2.0,54.0,25.0,0.3022406244658777,0.6971288823162489,0.022044591368896086,0.0,True,False,False,False,True,False
0.18186870532637894,1.5,7.5,2.0,54.0,25.0,0.36889987678313324,0.533871088983874,0.429780935891177,0.0,False,False,True,False,False,False
0.49311120540286,1.0,7.0,1.0,54.0,25.0,0.3931702293769299,0.71221045217031,0.21256809909044044,0.0,False,False,True,False,False,False
0.49041127506129345,1.0,6.5,2.0,54.0,25.0,0.33854579291683984,0.8022335816949298,0.0,0.0,False,False,True,False,False,False
0.4070524016277559,1.0,9.5,2.0,54.0,25.0,0.3512937658159836,1.0,0.0,0.0,False,False,True,False,False,False
0.4401233992545575,1.0,7.0,2.0,54.0,25.0,0.2744395733058758,0.8949618776431004,0.0,0.052616330680041554,False,False,True,False,False,False
0.4131223195675438,1.0,8.0,2.0,54.0,25.0,0.1459746908062501,0.4061520224272948,0.0,0.42184730558812605,False,False,True,False,False,False
0.07731481481481481,1.25,3.0,2.0,42.0,25.0,0.3853588865665738,0.5041515217151219,0.06863567414381201,0.0,True,False,True,False,False,False
0.21510802469135798,2.0,3.0,2.0,42.0,25.0,0.35496557572651777,0.5881058555698219,0.21231585887384133,0.0,False,False,True,False,False,False
0.45135185185185184,1.25,2.0,1.0,42.0,25.0,0.2729571643030037,0.44149562093415967,0.0,0.13094746082088643,True,False,True,False,False,False
0.41839238845144355,1.25,1.0,1.0,50.0,25.0,0.15894122737053337,0.4063015627601915,0.05584233035143992,0.0,True,False,False,False,True,False
0.2970970972203974,1.1666666666666667,6.0,1.0,50.0,25.0,0.2397637469467952,0.05711276919797696,0.2073242299197214,0.0,True,False,False,False,True,False
0.43169414530797856,1.1666666666666667,5.0,2.0,50.0,25.0,0.20276430483564328,0.5865303834495672,0.0,0.0,True,False,False,False,True,False
0.42140118922458314,3.5,4.5,2.0,50.0,25.0,0.3611018560792903,1.0,0.0,0.0,True,False,False,False,True,False
0.4079636752136752,3.5,6.0,1.0,50.0,25.0,0.43457214600907046,0.9750174114991189,0.0,0.0,True,False,False,False,True,False
0.6207033106803328,1.5,6.0,1.0,54.0,25.0,0.40352126833860746,0.3977805204843864,0.3005836369287054,0.0,True,False,False,False,True,False
0.5298663135132414,1.5,6.0,2.0,54.0,25.0,0.3299758167996222,0.6747572994320512,0.17907755201328462,0.0,True,False,False,False,True,False
0.4591839997577171,1.5,7.0,2.0,54.0,25.0,0.3134480501653866,0.716990168453638,0.0,0.0,True,False,False,False,True,False
0.6241989380152095,1.0,9.0,1.0,54.0,25.0,0.36894720945631215,0.5525558974492304,0.3951792859363867,0.0,True,False,False,False,True,False
0.6234288949907558,1.0,6.0,2.0,54.0,25.0,0.366129493297078,0.8953881852456885,0.1046118147543115,0.0,True,False,False,False,True,False
0.36043681030581093,1.0,8.0,2.0,54.0,25.0,0.29193895645643503,0.651592157862385,0.34840784213761494,0.0,True,False,False,False,True,False
0.5507138136808782,1.0,4.5,2.0,54.0,25.0,0.3489043360170167,0.5611382242144414,0.4388617757855587,0.0,True,False,False,False,True,False
0.21278489583333332,1.1666666666666667,16.0,1.0,46.0,25.0,0.2534913274469494,0.8050000359626518,0.0,0.0,False,False,True,False,False,False
0.29902083333333335,1.1666666666666667,4.0,1.0,47.0,25.0,0.22251000764468365,0.5003724010048366,0.0,0.0,False,False,True,False,False,False
0.3433159722222222,1.1666666666666667,8.0,1.0,9.0,25.0,0.2529279761539699,0.4853024574755572,0.0,0.0,True,False,True,False,False,False
0.27194349343926805,1.1666666666666667,5.0,1.0,9.0,25.0,0.2864730356598148,0.11630253646592828,0.0,0.0,True,False,True,False,False,False
0.3663796067665433,1.5,7.0,2.0,40.0,25.0,0.320566047630205,0.8382670443026791,0.0,0.0,True,False,True,False,False,False
0.34748351879236744,1.5,12.0,2.0,40.0,25.0,0.28308551957661465,0.5045901711521336,0.07087913988606885,0.0,True,False,True,False,False,False
