compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
11370,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,LENORA ST,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,0.2194416510860128,0.20570275403608737,0.2647916666666667,0.5708333333333333,0,Night/weekend intensive streets
11371,LENORA ST BETWEEN 5TH AVE AND 6TH AVE,LENORA ST,LENORA ST BETWEEN 5TH AVE AND 6TH AVE,0.22534463945931962,0.14578626543209877,0.18718287037037037,0.5235416666666667,0,Night/weekend intensive streets
11579,MADISON ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,MADISON ST,MADISON ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,0.47478125,0.3797786458333333,0.727,0.67625,2,Consistently high occupancy streets
11581,MADISON ST BETWEEN POST AVE AND 1ST AVE,MADISON ST,MADISON ST BETWEEN POST AVE AND 1ST AVE,0.7990520833333333,0.9143640350877192,0.9228333333333333,0.99,2,Consistently high occupancy streets
11583,MADISON ST BETWEEN 2ND AVE AND 3RD AVE,MADISON ST,MADISON ST BETWEEN 2ND AVE AND 3RD AVE,0.4083888888888889,0.5339087301587301,0.34888888888888886,0.48388888888888887,0,Night/weekend intensive streets
11584,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,MADISON ST,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,0.5341388888888889,0.5066239316239316,0.42388888888888887,0.5105555555555557,2,Consistently high occupancy streets
11585,MADISON ST BETWEEN 4TH AVE AND 5TH AVE,MADISON ST,MADISON ST BETWEEN 4TH AVE AND 5TH AVE,0.5961449859747545,0.5111904761904762,0.6362222222222222,0.7705555555555555,2,Consistently high occupancy streets
11586,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,MADISON ST,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,0.3060015151515152,0.2231578947368421,0.2561333333333333,0.333,0,Night/weekend intensive streets
11660,MARION ST BETWEEN ALASKAN ER WAY AND WESTERN AVE,MARION ST,MARION ST BETWEEN ALASKAN ER WAY AND WESTERN AVE,0.38009722222222225,0.44708333333333333,0.5456666666666666,0.7177777777777778,2,Consistently high occupancy streets
11662,MARION ST BETWEEN POST AVE AND 1ST AVE,MARION ST,MARION ST BETWEEN POST AVE AND 1ST AVE,0.3290737179487179,0.3162393162393163,0.4751666666666667,0.475,0,Night/weekend intensive streets
11664,MARION ST BETWEEN 2ND AVE AND 3RD AVE,MARION ST,MARION ST BETWEEN 2ND AVE AND 3RD AVE,0.4675069444444444,0.46694444444444444,0.2278333333333333,0.42444444444444446,0,Night/weekend intensive streets
